タイムスタンプ,In which previous funds have you voted?,Other than voting have you actively participated in Cardano Project Catalyst?,"Other than English and Japaneses, which languages you do speak or believe are important to the Catalyst Community?",Please give us an indication of your age group.,The role of the dRep was recently announced. Do you see value in being able to assign your vote to a proxy?,In relation to the dRep position please briefly provide your thoughts and opinion about this new role. ,Did you vote in Fund 7,"In relation to your Fund 7 vote, how many proposals did you vote positive for?",What attracted you to certain proposals that you voted up?,How many proposals did you vote negative for?,What attracted you to certain proposals that you voted down?,Is there anything in a proposal that will lead to an automatic down vote?,How much time did you spend on each proposal when considering it for your vote?,How much time did you spend on each proposal when considering it for your vote?,Do you have an Ideascale account?,"In relation to Fund 6 voting, did you read the proposals you voted on in Ideascale.",How important is getting rewarded for voting to you?,"In your opinion, the amount of voting reward is...",How much weight do you give to Community Advisor scores?,Please add any comments about the CA score and process below:,How much voting power do you control? (If you wish to answer and stay anonymous you can choose not to provide an email address.),How many wallets do you vote with?,Do you vote on behalf of others?,What are your thoughts about 1 ADA equals 1 Vote and the risk of forming a plutocracy inside Cardano?,"If there was a way to get ""expert ballots"" and ""voter advice"" that provide direction on your own voting choices, would you use them?",How many minutes in total did you spend voting in Fund 6? (please use numbers only eg 2 hours = 120),In relation to voting would you prefer to spend more lore less time?,How would you rate your general experience with voting in Catalyst Fund 6?,"If you have participated in any previous funds, did you perceive any improvement in the general process?",Give a brief run down of your voting process.,"以前のFundよりも改善されたと思う点を教えてください。(Did your voting method change from previous funds? If yes, please explain)",さらに改善して欲しい点を教えてください。(Is there anything about the voting process you had difficulties with or you think could do with improvement?),あなたは、どのように投票先を見つけましたか？ (What are the main way(s) you found out about the proposals you voted up.),あなたは日本専用カテゴリーの提案に投票を行いましたか？ (Did you vote in the F7: Connecting Japan/日本 Community Challenge?),そのうち、いくつの提案に投票しましたか？(How many Proposal did you vote for in the Japanese ),以下の中で、あなたが最も必要としているCatalystの改善点はどれですか？(In relation to Project Catalyst please indicate if you think the follow are of current and major importance.),今回実施した、この投票者参加調査アンケート(報酬付き)は重要だと思いますか？(How would you rate the importance of this or surveys like this?),今回のアンケート調査の質問内容について、どのように評価しますか？(How would you rate our execution of this survey?),"このアンケート調査について、あなたの意見をお聞かせください。(Do you have any comments, feedback or suggestions about this survey?)",このアンケート調査はどのように知りましたか？(How did you find out about the survey?),仮に、回答協力の報酬が無かった場合、あなたがこの調査に協力してくれた可能性はどのくらいありますか？(How likely are you to participate in a voter survey if it was not incentivized?)
2022/03/09 8:39:33,"Fund 7, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,,Yes,1 - 5,Look at the proposal,1 - 5,Look at the proposal,NO,30分未満 (less than 30 mins),3,No,それなりに (Sometimes),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,回答を控えます (I prefer not to say),1,No,,No,,3,4,5,Yoroi,It became easier to vote,I want you to make it easier to understand voting,I knew directly from the proposer from the proposer,No,6,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),4,4,,,3
2022/03/09 8:42:36,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,none,Yes,1 - 5,Because Cardano is likely to prosper and flourish,0,No opposition vote,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),30分以上 (more than 30 mins),5,No,それなりに (Sometimes),5,3,いつも評価に従って投票している (I rely entirly on them),none,50k - 100k,1,No,none,Yes,60,3,5,5,none,none,none,From the IDEASCALE site (IDEASCALE),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),1,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,none,Cardano Foundation Japan Official Telegram,1
2022/03/09 8:52:35,"Fund 7, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",,25 - 34,No,I think that voting is good as much as possible because it can be fraudulent,Yes,21 - 100,Whether it will contribute to the recognition of Cardano in the future,1 - 5,Whether or not the recognition of Cardano will expand in the future,Yes,5分未満 (less than 5 min),5,No,毎回 (Always),5,2,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,I don't think anything,Yes,60,3,5,5,Vote if you think it's okay in the marketing side,You don't have to register for participation every time,I want a reward simulator,I was told by other voters (from Other Voters),Yes,1,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,I feel very useful if this is transmitted to the cardano side,twitter,1
2022/03/09 8:54:07,"Fund 7, Fund 6, Fund 5, Fund 4","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,I think it is necessary to select multiple reliable agents by voting for agents.,Yes,21 - 100,A proposal that gave me a presentation for a Japanese proposer and a community. A proposal that interests you.,0,I have not voted.,Yes,5分未満 (less than 5 min),3,Yes,たまに (Rarely),5,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),"I don't know what kind of person CA is, so I use it for reference.",100k - 500k,1,No,You may decide the upper limit.,Yes,60,1,4,3,Search by category,It became easier to search.,Country category,"Directly from The Proposer, which was taught by other voters (from Other Voters)",Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,I want you to use it for improvement so that it is easy to vote.,LINE group,4
2022/03/09 8:58:19,Fund 7,"いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,,Yes,6 - 20,I decided on the content and whether it would be useful for the Cardano's future,0,I didn't throw any opposite votes because I think there are their own opinions and ideas.,Yes,30分未満 (less than 30 mins),3,No,たまに (Rarely),4,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,60,2,4,,From the smartphone catalist app,I haven't voted before,I haven't voted before,,Yes,7,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,I think such a survey is meaningful and necessary for improvement,LINE open chat,3
2022/03/09 9:58:52,"Fund 7, Fund 6","いいえ、投票だけです (No, I only vote.)",,55 - 64,No,"If you delegate to others, you will not have the opportunity to examine yourself and understand the current situation.",Yes,6 - 20,Look at the summary site,0,I don't have enough intention to make a strong opposition,Yes,5分未満 (less than 5 min),2,Yes,たまに (Rarely),2,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),It will be helpful,> 500k,1,No,It may be a certain vote to some extent,Yes,60,2,4,2,Refer to the summary site,I don't think much,"I was a little troubled because I changed my smartphone between FUND6 and FUND7. I re -registered with the same Daedalos QR code, but I want a site that can easily understand the procedure around that.",From the IDEASCALE site (IDEASCALE),Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),2,2,thank you for your hard work. Thank you for your continued support.,YUTA's LINE (Yomen Cardanoada Announcement Chat),3
2022/03/09 10:05:23,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",中国語,35 - 44,Yes,"I think it is important to be able to play a role, but on the other hand, there is concern that people will exchange voting rights.",Yes,1 - 5,For projects that I thought would be good to come out in a conversation in the Japanese LINE community,0,No opposition vote has been thrown.,Yes,30分以上 (more than 30 mins),4,No,たまに (Rarely),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I think yuta is fairly watching.,100k - 500k,1,No,I think there is a danger because it can be a political composition where the opinions of powerful people pass.,Yes,360,3,5,5,"From community conversations, etc.",The UI is easier to use,The amount of jumps on the site is large,LINE community,Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,4,"There were some questions that could be misunderstood as the same, so should I change the question method?",LINE community,2
2022/03/09 10:08:34,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",,45 - 54,Yes,"While there are many projects and English, it is helpful, but I would like to avoid unintended results. I thought that anyone should be selected by any means, not everyone OK. For example, I wondered if there would be a recommendation from the Foundation / Community or a candidate from SPO.",Yes,21 - 100,I referred to the survey report of Yuta and ISSA of the Japan community.,0,I referred to the survey report of Yuta and ISSA of the Japan community.,Yes,30分以上 (more than 30 mins),3,No,一度もない (Never),1,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,No,,Yes,120,2,5,4,I'm voting one by one,I feel that the screen transition has become faster,I want you to stop the function to enter the passcode every time,I was told by other voters (from Other Voters),Yes,10,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,5,Thank you for having such an opportunity. thank you,Twitter,3
2022/03/09 10:13:36,"Fund 7, Fund 6, Fund 5, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",アラビア語,45 - 54,No,Opposition because it may be operated,Yes,1 - 5,With Yuta's guidance,0,What I want to do to increase the value of cardano,NO,5分未満 (less than 5 min),4,Yes,大体は (Usually),4,1,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,回答を控えます (I prefer not to say),1,No,,Yes,30,2,3,2,With a smartphone you choose after translating,password,"If you can write it in Japanese, you can save the trouble of translation. I do not understand the operation well. It is hard to confirm that it was completed. The ADA commission was drawn due to the incomplete poll, so the area was wasted.",From the proposal PR Meet Up (Ideafest by Swarm),No,,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,2,,Information from yuta,5
2022/03/09 10:16:53,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",ロシア語,65 - 74,No,,Yes,1 - 5,Feasibility,1 - 5,Unexity of realization,NO,30分未満 (less than 30 mins),1,No,たまに (Rarely),5,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,No,No risk,Yes,10,2,5,3,Believe in intuition,Easy to see,Furthermore,From the IDEASCALE site (IDEASCALE),No,0,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,wonderful,In an online article,3
2022/03/09 10:46:05,"Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","はい、提案者としても参加しました (Yes, I'm a proposer.)",,35 - 44,Yes,,No,0,trust,0,trust,Yes,5分未満 (less than 5 min),3,Yes,それなりに (Sometimes),5,1,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,100k - 500k,1,No,,Yes,,1,5,2,Via YOROI,Nothing,I want you to carefully select and reduce voting destinations,I was told by other voters (from Other Voters),Yes,2,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,4,,Community LINE,3
2022/03/09 11:00:24,"Fund 7, Fund 6, Fund 5","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,55 - 64,Yes,,Yes,6 - 20,I mainly chose what I trusted and the same Japanese suggestions.,0,I didn't understand enough to be able to vote in opposition.,,5分未満 (less than 5 min),2,No,,4,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,50k - 100k,1,No,,Yes,120,2,4,4,"I searched, searched, and voted for suggestions recommended by trusted people.",It became easier to find proposals,I want you to be Japanese,,,,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",5,4,,,5
2022/03/09 11:09:32,"Fund 7, Fund 4, Fund 3","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,65 - 74,Yes,"Difficult to keep up with information
",Yes,6 - 20,Mainly Japanese proposals,0,"Based on community information
",Yes,30分未満 (less than 30 mins),3,No,それなりに (Sometimes),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,> 500k,1,No,I don't know yet,たぶん (Maybe),60,1,5,2,??,?,Japanese language support,"From the IdeasCale site (IDEASCALE), other voters (from Other Voters)",Yes,6,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 自分の投票権を他人に委任できる制度 (I want to be able to delegate my vote to an other)",3,3,"Thank you for your hard work
",I received an email,
2022/03/09 11:13:21,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",,35 - 44,No,I think that only those who use DREP for the purpose of rewards will not make the meaning of voting,Yes,21 - 100,I voted only for things that seem really good,0,Same,Yes,5分未満 (less than 5 min),2,Yes,たまに (Rarely),2,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),nothing especially,> 500k,3つ以上 (3 or more),No,It may be good to review the power of people with a large number of holdings.,Yes,90,2,3,4,"Votes for those that are highly evaluated by referring to Uta's documents, and those that are interested in the tweeter.",I wonder if it became a little easier to see,nothing special,"Directly from the proposer, documents provided by Uta",Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),2,3,Thank you if something is improved,Twitter,2
2022/03/09 11:28:09,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,I'm worried about fraud,Yes,1 - 5,SNS,0,SNS,Yes,30分以上 (more than 30 mins),3,No,それなりに (Sometimes),5,1,いつも評価に従って投票している (I rely entirly on them),none,回答を控えます (I prefer not to say),3つ以上 (3 or more),No,I think it's good,Yes,60,1,4,4,Votes in the app,Japanese notation of content,Voting on a PC only,I knew directly from the proposer from the proposer,Yes,5,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),5,4,I want you to increase the number of questionnaires,SNS,1
2022/03/09 11:42:53,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,35 - 44,No,,Yes,6 - 20,Evaluation number,0,Evaluation number,Yes,30分未満 (less than 30 mins),3,No,たまに (Rarely),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,100k - 500k,1,Yes,,Yes,80,2,4,4,Evaluation number,The number of suggestions has increased,Not particularly,"Ideafest Proposal PR Meet Up (Ideafest by Swarm), other voters taught me (from Other Voters)",Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",4,4,nothing special,Group LINE,4
2022/03/09 12:12:48,"Fund 7, Fund 6, Fund 5","いいえ、投票だけです (No, I only vote.)",特になし,35 - 44,Yes,,Yes,1 - 5,After confirming the contents,0,Reward,Yes,5分未満 (less than 5 min),3,No,それなりに (Sometimes),3,2,いつも評価に従って投票している (I rely entirly on them),,回答を控えます (I prefer not to say),1,No,,たぶん (Maybe),,2,4,3,From what I was interested in,I don't understand,nothing special,I was told by other voters (from Other Voters),Yes,5,投票アプリの日本語対応 (Voting App localized (into Japanes)),4,4,,,3
2022/03/09 12:14:50,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",No,35 - 44,Yes,I think there are a certain number of ADA mass holders where most of the interests are priced.,Yes,6 - 20,"Among the Japanese translated summary of the proposal list created by Yuta, we voted for suggestions that seem good from the proposal that has a good evaluation of good.",0,"There was no determination criterion for throwing opposition votes, so there was no uniform voting.",I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),5分未満 (less than 5 min),2,No,一度もない (Never),3,3,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),I think it is appropriate.,> 500k,3つ以上 (3 or more),No,"If a person who owns a large amount of ADA in the pre -sale has a high percentage of participation in the voting for the purpose of voting, it seems that it is a risk that the 1ADA = 1 vote result is the risk of gaps. 。",Yes,60,1,4,4,"He picks up the suggestions he wants to vote in advance, and only puts in favor votes from the catalist app on the iPhone.","After voting, you can now confirm the proposal you voted.",I want you to be able to search with the title of the proposal. (Because it may take some time to find the suggestion you want to vote),Information from LINE's open community (Cardanoada chat community).,そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),,投票アプリの日本語対応 (Voting App localized (into Japanes)),3,4,It was a good opportunity to look back on catalyst votes.,LINE open chat community,2
2022/03/09 12:32:51,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,"There are people who can understand the contents of Catalyst and those who cannot do it, and it is often impossible to judge whether it is an UX or a technical part. I agree that trusted agents come to the official, but I think it's important to avoid arbitrary organizational votes.",Yes,1 - 5,Cardano social implementation and contents about UX,1 - 5,Individual optimal content,Yes,5分未満 (less than 5 min),4,No,一度もない (Never),4,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,回答を控えます (I prefer not to say),1,No,"I think that the leader is not always the person on the practical site of the Cardano society, but also the balance between the technical side, the investor side, and the site side.",Yes,30,3,5,4,Look at the title of the proposal lightly and check the details of the content that you are interested in and judge.,I feel that the category has become a little easier to understand.,"I thought it would be easier to understand that it was a format that could be easily filtered from the interest of the voter. (UX, each function, details of each item starting from developers. I feel like I will look through 10 proposals in 10 or less.)","From the IdeasCale site (IDEASCALE), other voters (from Other Voters)",Yes,5,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,5,,,5
2022/03/09 13:59:26,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3","はい、コミュニティ内で積極的にCatalystの情報発信をしました (Yes, I'm active in the community.)",,55 - 64,Yes,"The community around me is old, and I like Cardano and Charles' thoughts, but I'm lamenting that it is too difficult to understand because it is too difficult to understand. hey.
I myself participate in Catalyst while collecting information and trial and error.
We would like to participate as many as possible and excite everyone.
",Yes,21 - 100,It is a voting for looking for Japanese suggestions such as YUTA.,0,"As much as possible, I wanted to support Kittam in Shikoku, especially in places that Japanese people propose, so I looked for it in various ways.",Yes,30分以上 (more than 30 mins),3,No,たまに (Rarely),2,3,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),"I don't know how to attach the evaluation, and when voting, then ...? !
",100k - 500k,1,Yes,"I hope that we can cooperate with what we can, revitalize the community, and excite Cardano together.",Yes,150,1,4,3,"This is a method of writing the proposal items in a notebook, sorting them out, put together in order, and then voted.
",You can select various items and vote together in a lump.,"If you have a number in the item, you will save a little more effort.
Also, since you select an item once, if you select an item, vote, and return to the same item, you will save time. At the same time, if you return to the voting, the voting will be smooth.
It's easy to proceed (*^◯^*)",From the IDEASCALE site (IDEASCALE),Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),2,4,"I hope that as many people as possible will participate, and the safe and secure Cardano circle will expand.
The area around me is only older people, so I would like to do my best to do what I can and be able to participate together.
I'm sorry because I want to participate in events and so on.
If possible, I hope you can hold it in Shikoku ...
I would like to look forward to holding it in Kittam in Tokushima (*^◯^*)
Thank you!

",LINE's Yuta community,5
2022/03/09 14:32:38,Fund 7,"いいえ、投票だけです (No, I only vote.)",,55 - 64,No,I think it is desirable to execute by the person's will,Yes,21 - 100,From the support of the Japanese community and information sharing at the East Meeting,0,From the support of the Japanese community and information sharing at the East Meeting,Yes,5分未満 (less than 5 min),5,No,,3,2,いつも評価に従って投票している (I rely entirly on them),I think there are many valid ratings,100k - 500k,2,No,I think it's okay to have no malicious person,たぶん (Maybe),0,1,3,,I entered with a smartphone,Being able to search for keywords,can not think of anything,,Yes,10,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,I think it can be used for future improvement and business,Introduced from Japan Community Leader,5
2022/03/09 20:24:57,"Fund 7, Fund 6","はい、コミュニティ内で発信されているCatalystの情報に積極的に目を通していました (Yes, I'm a lurker in the community)",,55 - 64,No,I don't think there is a need for others to use the rights that cannot be said directly,Yes,0,I don't know how to do it,0,It should be a little easier to understand,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),1分未満 (less than 1 min),2,No,一度もない (Never),2,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),What kind of choice are you making?,回答を控えます (I prefer not to say),回答を控えます (prefer not to say),No,No good,たぶん (Maybe),,1,2,1,Answer what you understand,not sure,Perhaps those who know are changing their own?,From the IDEASCALE site (IDEASCALE),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),,投票アプリの日本語対応 (Voting App localized (into Japanes)),3,1,I don't understand the meaning of the questionnaire in the first place,Instagram,3
2022/03/09 23:23:57,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2, Fund 1","いいえ、投票だけです (No, I only vote.)",特になし,45 - 54,No,I want to vote myself. Can you delegate all the proposals? What is the reward?,Yes,21 - 100,"He prioritized his country's projects, and voted for large projects overseas.",1 - 5,"Those that are not very useful, those that have little explanation, and those that can be substituted with others.",Yes,5分未満 (less than 5 min),3,Yes,それなりに (Sometimes),5,1,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),"I don't value it so much, but depending on the content of the project, it may vote even if the ☆ is low.",100k - 500k,1,No,I can't say anything,Yes,60,1,5,4,Voting with priority on projects in your country,It ’s good to be able to search,Please correspond to Japanese so please.,I knew directly from the proposer from the proposer,Yes,6,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 投票アプリの仕様改善 (Voting App UX improvements), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",5,5,I think it's a very good initiative,Community LINE,5
2022/03/10 11:34:45,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 2","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,"If you are not sure, you have a voting right, but if you do not vote, you will not waste your voting right to the trusted person.",Yes,6 - 20,"Through the community, I decided on the proposal.",0,I decided through the community.,Yes,30分未満 (less than 30 mins),4,No,一度もない (Never),1,2,ほとんどの投票で参考にしている (I rely a lot on them and also do some of my own research),,回答を控えます (I prefer not to say),2,No,,Yes,,3,4,4,Refer to the opinion of the community.,It became easier to search,language choice,,Yes,,"投票アプリの日本語対応 (Voting App localized (into Japanes)), 既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet)",3,3,,,
2022/03/10 19:00:41,"Fund 4, Fund 3","いいえ、投票だけです (No, I only vote.)",,35 - 44,Yes,"Since it is only in English at the moment, I am voting for the recommended project by those who send in the community or YouTube.
I am grateful if you can delegate it like a stake for a trusted person who will be involved in trust and actively send it because it is not possible to check in detail.",Yes,21 - 100,Highly evaluated in the community,0,Recommended in the community,Yes,1分未満 (less than 1 min),3,No,一度もない (Never),2,2,いつも評価に従って投票している (I rely entirly on them),"There are some parts that I do not understand in honest trust, but I look at the daily activities and contributions, and I think that it is a standard for evaluation.",100k - 500k,1,No,"I think it's a little different to be reflected simply. Each time axis is watching. There is also a funding. In that sense, I think it would be nice if there was a system that can be delegated to people of the same thought. (I don't know if it's already there, so I answer it as something that I don't)",Yes,30,1,5,2,I voted from my smartphone,table of contents? I think it has become easier to choose.,"I don't know if there is, but I want to read it in Japanese. It is difficult to return to the first page after voting, so if you can choose the same category in a lump, it will be quite easy to vote.",Free community,Yes,8,投票アプリの日本語対応 (Voting App localized (into Japanes)),5,5,"I respect Charles and expect to realize a cardano vision, so I want to participate and spread as much as possible.
For that reason, I thought that the easier it was to enter, the more fans would increase.
After all, I think that catalysts are an equal world view that is unique, so I would like to participate as much as possible if there is a questionnaire.",Free community,5
2022/03/10 19:28:31,"Fund 7, Fund 6, Fund 5, Fund 4, Fund 3, Fund 2","いいえ、投票だけです (No, I only vote.)",なし,45 - 54,No,People who do not hold the minimum ADA required for voting cannot imagine why or in what situation they need.,Yes,6 - 20,I saw the details of each project. Browse information on Twitter and telegram,0,I saw the details of each project. Browse information on Twitter and telegram,I didn't know the existence of the category in the first place (I Was Not Awear The Was A JAPAN FOCUSED CHALLENGE),30分未満 (less than 30 mins),3,No,一度もない (Never),3,2,それなりに参考にしている (I read through them to give me a good picture then expand my own understanding),,50k - 100k,1,No,I think it is a community where power is not biased to some people.,たぶん (Maybe),30,2,4,3,From the Catalyst app,"FUND1 was an error and could not participate, but from FUND2, it has been able to participate smoothly.",nothing special,I was told by other voters (from Other Voters),そもそもカテゴリーの存在を知らなかった (I was not awear there was a Japan focused challenge),,既存のウォレット内で投票を完結させる機能 (Voting to be possible in wallet),3,3,"If you have a questionnaire, you will feel that you are participating in the project a little.",In the telegram,3
